Core	coretype	sampler	depth	mass	%2mm	water	wetden	dryden	om	carb
97-Birk(04)	ekman	square	5.5	2.95	0	68.18	1.3	0.41	10.36	1.6
97-Birk(04)	ekman	square	6.5	2.94	0	67.43	1.27	0.41	10.36	1.82
97-Birk(04)	ekman	square	7.5	3.14	0	65.5	1.27	0.44	9.71	1.89
97-Birk(04)	ekman	square	8.5	3.19	0	65.68	1.3	0.45	9.71	1.8
97-Birk(04)	ekman	square	9.5	3.51	0	63.46	1.35	0.49	9.52	1.77
97-Birk(04)	ekman	square	10.5	4.06	0	59.67	1.41	0.57	8.74	1.7
97-Birk(04)	ekman	square	11.5	4.38	0	56.85	1.42	0.61	7.25	2.04
97-Birk(04)	ekman	square	12.5	4.37	0	57.03	1.43	0.61	6.72	2.22
97-Birk(04)	ekman	square	13.5	4.34	0	56.55	1.4	0.61	6.6	2.37
97-Birk(04)	ekman	square	14.5	4.36	0	56.81	1.42	0.61	6.35	2.93
97-Birk(05)	ekman	square	0.5	2.24	0	73.26	1.18	0.31	9.3	2.43
97-Birk(05)	ekman	square	1.5	2.65	0	70.18	1.25	0.37	8.5	2.43
97-Birk(05)	ekman	square	2.5	2.73	0	70	1.28	0.38	8.39	2.23
97-Birk(05)	ekman	square	3.5	3.04	0	67.05	1.29	0.43	7.71	2.43
97-Birk(05)	ekman	square	4.5	3.34	0	64.32	1.31	0.47	6.81	2.9
97-Birk(05)	ekman	square	5.5	3.76	0	60.55	1.34	0.53	6.6	2.73
97-Birk(05)	ekman	square	6.5	3.98	0	59.21	1.37	0.56	5.48	2.71
97-Birk(05)	ekman	square	7.5	3.95	0	59.3	1.36	0.55	5.58	2.92
97-Birk(05)	ekman	square	8.5	4	0	59.21	1.37	0.56	5.67	2.95
97-Birk(05)	ekman	square	9.5	4.17	0	58.95	1.42	0.58	5.96	2.86
97-Birk(05)	ekman	square	10.5	3.8	0	60.41	1.35	0.53	6.68	3.09
97-Birk(05)	ekman	square	11.5	3.68	0	61.94	1.35	0.52	6.69	3.16
97-Birk(05)	ekman	square	12.5	3.76	0	61.91	1.38	0.53	6.34	2.37
97-Birk(05)	ekman	square	13.5	3.71	0	62.23	1.38	0.52	6.56	2.42
97-Birk(05)	ekman	square	14.5	3.68	0	61.99	1.36	0.52	7.35	2.23
97-Birk(06)	ekman	square	0.5	2.56	0	71.01	1.24	0.36	NA	NA
97-Birk(06)	ekman	square	1.5	2.82	0	69.25	1.29	0.4	NA	NA
97-Birk(06)	ekman	square	2.5	2.82	0	69.38	1.29	0.4	NA	NA
97-Birk(06)	ekman	square	3.5	2.87	0	69.21	1.31	0.4	NA	NA
97-Birk(06)	ekman	square	4.5	2.84	0	68.93	1.28	0.4	NA	NA
97-Birk(06)	ekman	square	5.5	2.95	0	69.43	1.35	0.41	NA	NA
97-Birk(06)	ekman	square	6.5	3.04	0	68.13	1.34	0.43	NA	NA
97-Birk(06)	ekman	square	7.5	3.43	0	63.74	1.33	0.48	NA	NA
97-Birk(06)	ekman	square	8.5	3.71	0	61.47	1.35	0.52	NA	NA
97-Birk(06)	ekman	square	9.5	4.21	0	58.73	1.43	0.59	NA	NA
97-Birk(06)	ekman	square	10.5	4.5	0	56.81	1.46	0.63	NA	NA
97-Birk(06)	ekman	square	11.5	4.63	0	54.29	1.42	0.65	NA	NA
97-Birk(07)	ekman	square	0.5	2.89	0	67.75	1.26	0.41	10.04	1.01
97-Birk(07)	ekman	square	1.5	3.09	0	66.46	1.29	0.43	10.08	1.04
97-Birk(07)	ekman	square	2.5	3.32	0	64.59	1.31	0.47	9.63	0.85
97-Birk(07)	ekman	square	3.5	3.25	0	64.4	1.28	0.46	8.95	1.47
97-Birk(07)	ekman	square	4.5	3.53	0	63.46	1.35	0.5	9.56	1.19
97-Birk(07)	ekman	square	5.5	3.45	0	63.89	1.34	0.48	7.91	2.15
97-Birk(07)	ekman	square	6.5	3.91	0	60.42	1.38	0.55	7.47	2.01
97-Birk(07)	ekman	square	7.5	4.37	0	58.02	1.46	0.61	6.31	1.9
97-Birk(07)	ekman	square	8.5	4.43	0	57.96	1.48	0.62	6.35	1.88
97-Birk(07)	ekman	square	9.5	4.38	0	57.53	1.45	0.61	6.38	1.97
97-Birk(07)	ekman	square	10.5	4.49	0	57.2	1.47	0.63	6.64	1.91
97-Birk(07)	ekman	square	11.5	4.61	0	56.43	1.49	0.65	6.43	1.7
97-Birk(07)	ekman	square	12.5	4.69	0	56.24	1.5	0.66	6.78	1.66
97-Birk(08)	ekman	square	0.5	3.48	0	63.75	1.35	0.49	NA	NA
97-Birk(08)	ekman	square	1.5	4.09	0	60.02	1.43	0.57	NA	NA
97-Birk(08)	ekman	square	2.5	4.03	0	59.62	1.4	0.57	NA	NA
97-Birk(08)	ekman	square	3.5	4.16	0	58.36	1.4	0.58	NA	NA
97-Birk(08)	ekman	square	4.5	4.44	0	56.77	1.44	0.62	NA	NA
97-Birk(08)	ekman	square	5.5	4.75	0	54.59	1.47	0.67	NA	NA
97-Birk(08)	ekman	square	6.5	4.92	0	54.53	1.52	0.69	NA	NA
97-Birk(08)	ekman	square	7.5	4.77	0	54.7	1.48	0.67	NA	NA
97-Birk(08)	ekman	square	8.5	4.61	0	55.46	1.45	0.65	NA	NA
97-Birk(08)	ekman	square	9.5	4.54	0	55.49	1.43	0.64	NA	NA
97-Birk(08)	ekman	square	10.5	4.3	0	56.57	1.39	0.6	NA	NA
97-Birk(08)	ekman	square	11.5	4.49	0	57.03	1.47	0.63	NA	NA
97-Birk(08)	ekman	square	12.5	4.33	0	57.42	1.43	0.61	NA	NA
97-Birk(08)	ekman	square	13.5	4.22	0	58.13	1.41	0.59	6.226415094	2.146210597
97-Birk(08)	ekman	square	14.5	4.36	0	56.44	1.4	0.61	6.033091203	2.018466824
97-Birk(09)	ekman	square	0.5	2.72	0	70.55	1.29	0.38	8.967275818	2.054154995
97-Birk(09)	ekman	square	1.5	2.96	0	67.62	1.28	0.41	9.05366653	1.531531532
97-Birk(09)	ekman	square	2.5	3.09	0	67.51	1.34	0.43	8.689735614	1.681924633
97-Birk(09)	ekman	square	3.5	3.17	0	67.06	1.35	0.44	8.1773187	2.015467542
97-Birk(09)	ekman	square	4.5	3.49	0	64.74	1.39	0.49	7.429048414	1.825969342
97-Birk(09)	ekman	square	5.5	3.94	0	61.9	1.45	0.55	7.900918215	1.901228843
97-Birk(09)	ekman	square	6.5	4.19	0	59.49	1.45	0.59	6.739679865	2.009936766
97-Birk(09)	ekman	square	7.5	4.2	0	59.47	1.45	0.59	6.467559217	1.651618586
97-Birk(09)	ekman	square	8.5	4.3	0	58.9	1.47	0.6	6.655433867	1.286101083
97-Birk(09)	ekman	square	9.5	4.19	0	58.6	1.42	0.59	6.255110384	1.809856084
97-Birk(09)	ekman	square	10.5	4.33	0	58.47	1.46	0.61	6.341761827	1.807097757
97-Birk(09)	ekman	square	11.5	4.43	0	57.97	1.48	0.62	6.441393875	1.828442438
97-Birk(09)	ekman	square	12.5	4.55	0	58.49	1.54	0.64	9.964129135	0.597609562
97-Birk(09)	ekman	square	13.5	4.3	0	58.73	1.46	0.6	9.412727645	0.700248475
97-Birk(11)	ekman	square	0.5	2.82	0	70.6	1.34	0.4	9.659691397	2.222742162
97-Birk(11)	ekman	square	1.5	3.31	0	65.21	1.34	0.46	8.520088835	2.096667402
97-Birk(11)	ekman	square	2.5	3.16	0	66.88	1.34	0.44	8.368452739	2.14629873
97-Birk(11)	ekman	square	3.5	3.26	0	65.89	1.34	0.46	8.469449486	1.784534038
97-Birk(11)	ekman	square	4.5	3.63	0	63.27	1.39	0.51	8.469509765	1.589375136
97-Birk(11)	ekman	square	5.5	3.96	0	60.74	1.42	0.56	8.089539007	1.446829033
97-Birk(11)	ekman	square	6.5	4.05	0	59.33	1.4	0.57	7.676069852	1.205570567
97-Birk(11)	ekman	square	7.5	4.27	0	58.61	1.45	0.6	7.231661832	1.295510386
97-Birk(11)	ekman	square	8.5	4.13	0	58.55	1.4	0.58	6.881550326	1.613930771
97-Birk(11)	ekman	square	9.5	4.39	0	57.34	1.44	0.62	6.919864784	1.730399487
97-Birk(11)	ekman	square	10.5	4.25	0	57.47	1.4	0.6	6.991311376	1.499022377
97-Birk(11)	ekman	square	11.5	4.34	0	57.11	1.42	0.61	6.899941026	1.689189189
97-Birk(11)	ekman	square	12.5	4.32	0	57.59	1.43	0.61	6.714895196	1.769735534
97-Birk(11)	ekman	square	13.5	4.81	0	54.27	1.48	0.67	6.050955414	1.740112994
97-Birk(11)	ekman	square	14.5	5.23	0	52.58	1.55	0.73	5.748802333	1.303867403
97-Birk(12)	ekman	square	0.5	3.47	0	64.34	1.36	0.49	8.225198828	1.368301026
97-Birk(12)	ekman	square	1.5	3.98	0	60.87	1.43	0.56	7.722813609	1.402397648
97-Birk(12)	ekman	square	2.5	3.91	0	60.91	1.4	0.55	7.562662057	1.309022908
97-Birk(12)	ekman	square	3.5	4.18	0	60.25	1.47	0.59	7.560543414	1.36315229
97-Birk(12)	ekman	square	4.5	4.15	0	59.33	1.43	0.58	7.458508298	1.577355229
97-Birk(12)	ekman	square	5.5	4.63	0	56.07	1.48	0.65	6.908462867	1.437847866
97-Birk(12)	ekman	square	6.5	4.91	0	55.26	1.54	0.69	6.792759813	1.418284966
97-Birk(12)	ekman	square	7.5	4.99	0	53.19	1.49	0.7	6.229508197	1.507867133
97-Birk(12)	ekman	square	8.5	5.24	0	51.77	1.52	0.73	5.768098882	1.394961482
97-Birk(12)	ekman	square	9.5	5.06	0	52.39	1.49	0.71	5.714285714	1.384708007
97-Birk(12)	ekman	square	10.5	5.3	0	52.03	1.55	0.74	5.51441933	1.773561559
97-Birk(12)	ekman	square	11.5	5.01	0	51.7	1.46	0.7	5.577531646	1.633850021
97-Birk(12)	ekman	square	12.5	5.3	0	51.58	1.54	0.74	5.776850886	1.305887561
97-Birk(13)	ekman	square	0.5	3.72	0	61.64	1.36	0.52	8.821776277	1.263891915
97-Birk(13)	ekman	square	1.5	3.88	0	60.65	1.38	0.54	8.703703704	1.374802795
97-Birk(13)	ekman	square	2.5	3.84	0	60.39	1.36	0.54	8.749484111	1.243781095
97-Birk(13)	ekman	square	3.5	4.35	0	57.4	1.43	0.61	8.142544296	1.430429129
97-Birk(13)	ekman	square	4.5	4.97	0	54.27	1.52	0.7	7.745476723	1.18995152
97-Birk(13)	ekman	square	5.5	5.09	0	53.65	1.54	0.71	5.982230997	1.532969341
97-Birk(13)	ekman	square	6.5	5.11	0	53.43	1.54	0.72	6.053119209	1.512163051
97-Birk(13)	ekman	square	7.5	5.34	0	51.89	1.56	0.75	5.372250423	1.385784533
97-Birk(13)	ekman	square	8.5	5.54	0	49.83	1.55	0.78	5.221255323	1.289314319
97-Birk(13)	ekman	square	9.5	5.68	0	49.72	1.58	0.8	5.151942041	1.485253554
97-Birk(13)	ekman	square	10.5	5.53	0	50.18	1.56	0.77	4.777562863	1.564086939
97-Birk(13)	ekman	square	11.5	5.74	0	50.31	1.62	0.81	5.257936508	1.361256545
97-Birk(14)	ekman	square	0.5	3.55	0	64.7	1.41	0.5	9.611451943	1.628959276
97-Birk(14)	ekman	square	1.5	3.77	0	61.86	1.39	0.53	9.117462967	1.836547291
97-Birk(14)	ekman	square	2.5	3.75	0	62.26	1.39	0.53	7.749898826	1.447685896
97-Birk(14)	ekman	square	3.5	3.71	0	62.63	1.39	0.52	8.072359463	1.354210749
97-Birk(14)	ekman	square	4.5	3.8	0	61.74	1.39	0.53	7.867916837	1.305309735
97-Birk(14)	ekman	square	5.5	4.09	0	59.94	1.43	0.57	7.766591329	1.51481399
97-Birk(14)	ekman	square	6.5	4.09	0	58.67	1.39	0.57	7.660961695	1.279788173
97-Birk(14)	ekman	square	7.5	4.48	0	56.46	1.44	0.63	7.28956907	1.151172893
97-Birk(14)	ekman	square	8.5	5.05	0	53.13	1.51	0.71	6.718146718	NA
97-Birk(14)	ekman	square	9.5	5.43	0	50.79	1.55	0.76	5.967486122	NA
97-Birk(14)	ekman	square	10.5	5.43	0	50.63	1.54	0.76	5.977057758	NA
97-Birk(14)	ekman	square	11.5	5.33	0	50.83	1.52	0.75	6.1646508	NA
97-Birk(14)	ekman	square	12.5	5.22	0	52.4	1.54	0.73	5.905281622	NA
97-Birk(14)	ekman	square	13.5	5.04	0	53.17	1.51	0.71	5.997647981	NA
97-Birk(14)	ekman	square	14.5	4.98	0	53.19	1.49	0.7	6.16638796	NA
97-Birk(15)	ekman	square	0.5	3.02	0	67.52	1.3	0.42	9.391340724	NA
97-Birk(15)	ekman	square	1.5	3.53	0	64.57	1.4	0.49	9.333899024	NA
97-Birk(15)	ekman	square	2.5	3.35	0	65.15	1.35	0.47	9.119763013	0.39580908
97-Birk(15)	ekman	square	3.5	3.33	0	65.29	1.34	0.47	9.058684521	0.627977479
97-Birk(15)	ekman	square	4.5	3.47	0	64.02	1.35	0.49	8.90549273	0.576368876
97-Birk(15)	ekman	square	5.5	3.73	0	62.34	1.39	0.52	8.65228013	0.913750836
97-Birk(15)	ekman	square	6.5	3.82	0	61.25	1.38	0.54	7.308377897	0.918803419
97-Birk(15)	ekman	square	7.5	4.22	0	60.33	1.49	0.59	7.406643285	0.557040998
97-Birk(15)	ekman	square	8.5	4.05	0	59.65	1.41	0.57	7.230965547	0.710683173
97-Birk(15)	ekman	square	9.5	4.77	0	56.12	1.52	0.67	6.588086719	0.315457413
97-Birk(15)	ekman	square	10.5	5.24	0	51.86	1.53	0.74	6.058206296	0.273972603
97-Birk(15)	ekman	square	11.5	5.27	0	51.96	1.54	0.74	6.023135221	0.169779287
97-Birk(15)	ekman	square	12.5	4.8	0	54.1	1.47	0.67	6.158940397	NA
97-Birk(15)	ekman	square	13.5	5.07	0	52.66	1.5	0.71	6.203255609	NA
97-Birk(15)	ekman	square	14.5	5.02	0	53.1	1.5	0.7	6.321603928	0.174710636
97-Birk(16)	ekman	square	0.5	4.55	0	55.59	1.44	0.64	9.160924199	1.584114235
97-Birk(16)	ekman	square	1.5	4.55	0	56.44	1.46	0.64	8.992438177	1.684257804
97-Birk(16)	ekman	square	2.5	4.7	0	54.85	1.46	0.66	8.718256349	1.314348302
97-Birk(16)	ekman	square	3.5	4.59	0	55.77	1.46	0.64	9.107806691	1.317882299
97-Birk(16)	ekman	square	4.5	4.66	0	56.02	1.49	0.65	8.589317159	1.412671233
97-Birk(16)	ekman	square	5.5	4.91	0	54.65	1.52	0.69	8.615004122	1.195308976
97-Birk(16)	ekman	square	6.5	4.88	0	54.22	1.5	0.68	8.670181605	1.26149241
97-Birk(16)	ekman	square	7.5	5.24	0	53.07	1.57	0.74	7.969563476	1.283724978
97-Birk(16)	ekman	square	8.5	5.89	0	49.09	1.62	0.83	15.92964824	3.705917513
97-Birk(16)	ekman	square	9.5	6.63	0	45.68	1.71	0.93	3.479627343	0.604721479
97-Birk(16)	ekman	square	10.5	6.44	0	45.11	1.65	0.9	0.721333623	0.133650855
97-Birk(16)	ekman	square	11.5	6.4	0	45.17	1.64	0.9	1.630184332	0.327926451
97-Birk(16)	ekman	square	12.5	6.39	0	46.3	1.67	0.9	5.663398039	1.081883751
97-Birk(16)	ekman	square	13.5	6.08	0	46.83	1.6	0.85	5.938901944	0.976606859
97-Birk(17)	ekman	square	0.5	5.29	0	53.08	1.58	0.74	8.173583316	1.468226657
97-Birk(17)	ekman	square	1.5	4.85	0	55.28	1.52	0.68	8.291032149	1.429889299
97-Birk(17)	ekman	square	2.5	5.08	0	53.09	1.52	0.71	7.868852459	1.223309609
97-Birk(17)	ekman	square	3.5	5.21	0	53.02	1.56	0.73	7.695560254	1.076500229
97-Birk(17)	ekman	square	4.5	5.25	0	52.01	1.53	0.74	7.488986784	1.360544218
97-Birk(17)	ekman	square	5.5	5.34	0	51.47	1.54	0.75	7.131079967	1.309365291
97-Birk(17)	ekman	square	6.5	5.41	0	52.27	1.59	0.76	7.653276956	1.076007326
97-Birk(17)	ekman	square	7.5	5.46	0	51.97	1.59	0.77	7.632135307	1.007095445
97-Birk(17)	ekman	square	8.5	5.69	0	50.27	1.61	0.8	6.766604206	1.071907101
97-Birk(17)	ekman	square	9.5	5.92	0	48.76	1.62	0.83	6.812313803	0.916453538
97-Birk(17)	ekman	square	10.5	5.93	0	48.18	1.6	0.83	6.383424027	0.916610776
97-Birk(17)	ekman	square	11.5	6.22	0	46.3	1.63	0.87	6.242350061	0.957354221
97-Birk(17)	ekman	square	12.5	7.25	0	43.14	1.79	1.02	5.945278749	0.699912511
97-Birk(18)	ekman	square	0.5	5.21	0	53.52	1.57	0.73	8.266260605	1.280531183
97-Birk(18)	ekman	square	1.5	5.65	0	52.2	1.66	0.79	8.354579329	1.198373636
97-Birk(18)	ekman	square	2.5	5.18	0	54.01	1.58	0.73	8.073130649	1.184357542
97-Birk(18)	ekman	square	3.5	5.37	0	53.55	1.62	0.75	8.261327713	1.079715139
97-Birk(18)	ekman	square	4.5	5.19	0	53.4	1.56	0.73	7.99154334	1.217830882
97-Birk(18)	ekman	square	5.5	5.43	0	52.81	1.61	0.76	7.714884696	1.340299864
97-Birk(18)	ekman	square	6.5	5.94	0	50.49	1.68	0.83	7.842323651	1.12561909
97-Birk(18)	ekman	square	7.5	6.34	0	47.92	1.71	0.89	6.409752261	1.050420168
97-Birk(18)	ekman	square	8.5	6.34	0	47.8	1.7	0.89	6.909448819	1.015013745
97-Birk(18)	ekman	square	9.5	6.24	0	45.19	1.6	0.88	6.803262383	1.045891142
97-Birk(19)	ekman	square	0.5	5.23	0	52.03	1.53	0.73	8.213429257	1.262791204
97-Birk(19)	ekman	square	1.5	5.73	0	50.56	1.63	0.8	8.250753985	1.620098615
97-Birk(19)	ekman	square	2.5	5.53	0	51.17	1.59	0.78	7.780040733	1.457597173
97-Birk(19)	ekman	square	3.5	5.53	0	50.93	1.58	0.78	7.926951636	1.41673932
97-Birk(19)	ekman	square	4.5	5.52	0	50.61	1.57	0.77	7.884212531	1.571221832
97-Birk(19)	ekman	square	5.5	6.17	0	46.96	1.63	0.87	6.795909672	1.668571429
97-Birk(19)	ekman	square	6.5	6.6	0	44.67	1.67	0.93	6.526064465	1.745423585
97-Birk(19)	ekman	square	7.5	6.71	0	44.6	1.7	0.94	6.716259299	1.777170198
97-Birk(19)	ekman	square	8.5	6.61	0	44.01	1.65	0.93	6.994974874	1.577696131
97-Birk(19)	ekman	square	9.5	6.66	0	44.52	1.68	0.93	7.320497393	1.558104306
97-Birk(19)	ekman	square	10.5	6.58	0	45.48	1.69	0.92	7.585644372	1.676963813
97-Birk(20)	ekman	square	0.5	2.91	0	69.4	1.33	0.41	8.82042625	2.221707938
97-Birk(20)	ekman	square	1.5	2.94	0	67.9	1.29	0.41	8.884766028	1.877828054
97-Birk(20)	ekman	square	2.5	2.88	0	67.95	1.26	0.4	10.24978467	1.823416507
97-Birk(20)	ekman	square	3.5	2.99	0	67.87	1.31	0.42	10.23925385	1.558617574
97-Birk(20)	ekman	square	4.5	2.96	0	68.23	1.31	0.41	10.46463816	1.423650976
97-Birk(20)	ekman	square	5.5	3.02	0	67.38	1.3	0.42	10.0286533	1.52411283
97-Birk(20)	ekman	square	6.5	3.26	0	65.26	1.32	0.46	9.580838323	1.986754967
97-Birk(20)	ekman	square	7.5	3.8	0	61.87	1.4	0.53	8.647225597	1.839946797
97-Birk(20)	ekman	square	8.5	3.95	0	59.12	1.35	0.55	7.866254349	1.971890078
97-Birk(20)	ekman	square	9.5	4.24	0	58.27	1.43	0.6	7.269503546	2.124495432
97-Birk(20)	ekman	square	10.5	4.28	0	58.52	1.45	0.6	7.433954536	1.991150442
97-Birk(20)	ekman	square	11.5	4.16	0	59.06	1.42	0.58	7.409793814	1.484574345
97-Birk(20)	ekman	square	12.5	4.47	0	57.69	1.48	0.63	6.599713056	2.326091727
97-Birk(20)	ekman	square	13.5	4.43	0	57.16	1.45	0.62	7.160751566	2.091297504
97-Birk(20)	ekman	square	14.5	4.52	0	56.53	1.46	0.63	6.978588422	1.918158568
97-Birk(21)	ekman	square	0.5	2.65	0	70.46	1.26	0.37	9.532520325	0.853740732
97-Birk(21)	ekman	square	1.5	3.19	0	66.87	1.35	0.45	9.126574437	0.772551693
97-Birk(21)	ekman	square	2.5	3.19	0	66.83	1.35	0.45	8.995350718	0.777432252
97-Birk(21)	ekman	square	3.5	2.99	0	75.62	1.72	0.42	8.878699458	0.960658737
97-Birk(21)	ekman	square	4.5	3.11	0	67.46	1.34	0.44	9.025493421	0.881355932
97-Birk(21)	ekman	square	5.5	3.6	0	65.83	1.48	0.51	7.931953269	1.513802315
97-Birk(21)	ekman	square	6.5	3.54	0	64.29	1.39	0.5	7.730298475	1.419595066
97-Birk(21)	ekman	square	7.5	3.62	0	63.54	1.39	0.51	7.926428728	1.212841855
97-Birk(21)	ekman	square	8.5	3.86	0	61.78	1.42	0.54	7.576366559	1.15242444
97-Birk(21)	ekman	square	9.5	4.48	0	58.11	1.5	0.63	6.44298065	1.144114411
97-Birk(21)	ekman	square	10.5	4.86	0	55.37	1.53	0.68	5.816246057	0.921080176
97-Birk(21)	ekman	square	11.5	4.97	0	54.01	1.51	0.7	5.819573097	0.876630319
97-Birk(21)	ekman	square	12.5	5.06	0	54.26	1.55	0.71	5.817116552	0.910908687
97-Birk(21)	ekman	square	13.5	4.82	0	55.21	1.51	0.68	5.569837189	1.429219601
97-Birk(21)	ekman	square	14.5	4.83	0	55.03	1.5	0.68	5.94583157	1.439820022
97-Birk(21)	ekman	square	15.5	4.92	0	53.27	1.48	0.69	5.281262647	1.709036531
97-Birk(22)	ekman	square	0.5	3.04	0	68.11	1.34	0.43	8.922013394	1.684060721
97-Birk(22)	ekman	square	1.5	3.12	0	66.88	1.32	0.44	9.468770838	1.767738767
97-Birk(22)	ekman	square	2.5	3.29	0	66.04	1.36	0.46	8.530099979	1.790697674
97-Birk(22)	ekman	square	3.5	3.42	0	64.23	1.34	0.48	10.041841	1.240310078
97-Birk(22)	ekman	square	4.5	3.71	0	62.16	1.37	0.52	10.15625	1.010575793
97-Birk(22)	ekman	square	5.5	4.25	0	59.76	1.48	0.6	9.33390817	1.093675701
97-Birk(22)	ekman	square	6.5	4.07	0	59.7	1.42	0.57	9.324825031	1.13507378
97-Birk(22)	ekman	square	7.5	3.67	0	63.16	1.4	0.52	9.823986901	1.225601453
97-Birk(22)	ekman	square	8.5	3.81	0	62.04	1.41	0.53	9.55021565	1.316984559
97-Birk(22)	ekman	square	9.5	4.08	0	60.14	1.44	0.57	9.511668955	0.47680971
97-Birk(22)	ekman	square	10.5	4.14	0	58.84	1.41	0.58	9.111523397	0.47629848
97-Birk(22)	ekman	square	11.5	4.82	0	56.22	1.54	0.68	7.486855941	0.500113662
97-Birk(22)	ekman	square	12.5	4.95	0	54.52	1.53	0.69	7.277289837	0.293188994
97-Birk(23)	ekman	square	0.5	3	0	67	1.28	0.42	10.3898886	2.486253885
97-Birk(23)	ekman	square	1.5	3.41	0	64.84	1.36	0.48	9.108378171	2.494714588
97-Birk(23)	ekman	square	2.5	3.4	0	64.56	1.34	0.48	9.319623715	2.750301568
97-Birk(23)	ekman	square	3.5	3.71	0	64.04	1.45	0.52	8.738287209	2.650429799
97-Birk(23)	ekman	square	4.5	3.66	0	62.46	1.37	0.51	8.300960949	2.051282051
97-Birk(23)	ekman	square	5.5	3.52	0	64.27	1.38	0.49	8.64783265	1.770538244
97-Birk(23)	ekman	square	6.5	4.03	0	60.65	1.44	0.57	8.255954784	1.826182618
97-Birk(23)	ekman	square	7.5	4.72	0	56.4	1.52	0.66	7.18487395	2.105024898
97-Birk(23)	ekman	square	8.5	4.65	0	55.3	1.46	0.65	6.481885639	2.03033839
